word,frequency
room,5962
hotel,5209
time,1852
location,1628
stay,1550
clean,1493
bed,1476
night,1333
one,1224
place,1211
bathroom,1192
would,1152
staff,1071
stayed,1059
u,994
get,983
great,980
good,961
day,929
new,916
square,914
like,810
price,798
old,766
carter,761
didnt,757
review,744
dont,701
got,689
floor,687
even,663
could,656
really,627
dirty,620
go,609
york,607
shower,607
bad,600
check,583
people,579
towel,567
2,560
door,547
first,543
desk,536
booked,532
back,532
nice,530
nyc,518
need,517
small,491
also,491
sheet,472
tv,465
service,464
lobby,463
water,459
thing,457
much,432
front,426
went,424
wall,423
want,422
carpet,421
never,419
right,413
3,411
well,407
city,404
close,401
pay,400
friendly,398
breakfast,396
next,388
two,387
every,384
cheap,381
sleep,381
better,376
everything,371
ok,371
around,360
money,358
see,357
say,357
little,354
told,341
staying,336
hot,324
work,319
helpful,318
however,317
5,316
reception,316
arrived,316
wasnt,312
minute,311
found,311
ever,307
read,306
away,304
subway,303
look,301
worst,301
long,301
friend,300
year,299
made,298
budget,297
walk,295
hour,295
said,293
comfortable,293
lot,292
another,291
street,290
find,284
window,282
cleaned,280
going,279
bit,273
paid,271
still,267
trip,266
station,266
4,265
checked,264
know,262
looking,261
bug,260
expect,259
perfect,257
asked,257
problem,256
looked,254
come,252
elevator,250
block,249
1,249
renovated,248
experience,248
rude,245
big,243
recommend,242
best,240
basic,236
make,235
took,231
take,231
reservation,229
line,228
use,228
think,226
fine,226
key,226
many,225
ny,223
enough,223
toilet,223
way,221
came,219
area,219
smell,212
sure,210
though,210
cant,208
nothing,206
needed,204
definitely,204
im,204
spend,203
week,203
manager,203
yes,202
pretty,201
filthy,201
reading,201
manhattan,198
bath,198
quite,197
free,197
wanted,195
given,194
give,194
last,193
disgusting,190
ive,190
couldnt,187
since,187
youre,187
across,187
morning,186
penn,186
wifi,185
booking,185
located,184
extra,184
left,183
near,182
safe,180
thought,178
guest,177
bag,177
double,177
let,176
anything,176
hostel,175
air,175
ask,175
central,174
luggage,173
used,172
per,171
walking,171
second,170
felt,170
saw,168
always,168
star,167
worked,166
else,166
something,166
view,163
inn,163
gave,163
building,162
broken,161
restaurant,161
thats,160
open,157
full,157
terrible,155
excellent,155
morningside,154
10,153
amazing,152
worth,151
working,151
called,150
outside,149
person,148
extremely,147
wouldnt,146
wait,146
horrible,145
put,144
care,144
value,143
ac,143
decided,143
change,142
coffee,142
actually,141
le,141
pennsylvania,141
visit,140
changed,140
book,140
cost,138
couple,136
size,136
call,135
picture,135
overall,134
help,133
etc,132
kind,132
different,131
side,131
without,131
light,131
checkin,131
feel,129
probably,129
guy,128
spent,127
phone,127
huge,126
paint,126
internet,125
three,125
stain,124
available,124
checking,124
least,122
shared,122
someone,122
lady,122
hole,122
upon,121
getting,121
noise,121
large,121
arrival,121
corner,120
whole,119
seen,119
card,118
absolutely,118
easy,117
charge,117
although,117
quiet,117
food,116
late,116
somewhere,116
bus,115
may,115
distance,115
closet,115
early,115
website,115
due,114
hallway,114
leave,114
decent,113
ceiling,113
sink,113
hair,112
surprised,112
customer,112
show,111
must,111
6,111
family,110
expensive,110
deal,110
rate,110
tried,108
happy,108
coming,107
far,107
poor,106
within,106
shop,106
pillow,106
middle,105
run,105
busy,105
100,105
almost,105
half,104
low,103
expected,103
cold,103
awful,102
travel,102
state,102
fact,101
id,101
cleaning,101
cafe,101
able,101
anyone,101
heart,100
standard,100
keep,100
park,100
expecting,100
fantastic,99
doesnt,99
part,99
worse,99
private,99
dated,98
security,98
werent,98
online,98
walked,98
knew,98
either,97
rat,96
furniture,96
