word,frequency
room,1699
hotel,1448
park,619
staff,616
location,572
stay,560
great,524
time,461
clean,422
night,381
view,358
good,352
bed,324
would,319
nice,299
u,284
new,281
stayed,280
central,275
floor,273
one,271
day,262
helpful,260
nyc,257
friendly,255
bathroom,254
place,250
front,246
service,246
desk,236
square,234
lane,215
small,200
like,190
city,182
get,181
comfortable,180
restaurant,176
also,175
check,170
breakfast,168
york,163
even,163
back,163
well,161
walk,160
could,159
close,159
really,155
need,147
station,138
hilton,135
price,134
didnt,133
everything,133
excellent,131
two,129
subway,128
definitely,124
dont,119
2,118
much,117
street,116
many,116
dirty,116
bar,115
make,113
made,112
never,112
food,111
got,111
people,110
walking,110
size,109
recommend,109
next,108
best,107
amazing,107
perfect,106
away,105
door,105
hour,105
first,105
always,105
quiet,104
area,104
little,103
right,102
coffee,102
go,101
thing,101
old,99
booked,99
trip,96
penn,95
around,95
shower,94
lot,94
water,93
better,90
reception,88
lobby,87
staying,87
located,86
garden,86
told,86
easy,85
use,85
4,84
minute,83
every,83
way,82
experience,81
guest,81
distance,80
work,80
elevator,79
come,77
enough,77
want,77
3,76
say,76
super,76
manhattan,76
went,75
spacious,75
extremely,75
however,75
visit,75
arrived,74
see,74
towel,74
wall,73
lovely,73
5,72
feel,70
property,69
window,69
drink,69
year,69
big,69
large,69
bit,69
thank,68
happy,68
south,68
block,68
another,68
sleep,67
fee,67
convenient,66
kind,66
problem,65
came,65
take,65
bad,65
especially,64
checked,64
ever,64
long,64
gave,64
look,64
manager,64
wonderful,64
noise,63
across,63
looking,63
carpet,63
needed,62
air,62
going,62
etc,61
facility,61
special,61
morning,61
beautiful,61
help,60
ny,60
luggage,60
toilet,59
tv,58
sure,58
family,57
still,56
cant,56
took,56
used,55
sheet,55
free,54
pay,54
last,54
10,54
quite,54
asked,54
left,54
inn,53
nothing,53
customer,53
short,52
near,52
find,52
loved,52
since,52
high,51
available,51
early,51
hot,51
enjoyed,51
know,50
building,50
said,50
member,50
couldnt,50
review,50
rate,50
charge,50
side,49
pleasant,49
hear,49
money,49
wasnt,49
within,49
doorman,49
far,48
call,48
though,48
business,48
helped,47
issue,47
highly,47
return,47
anything,47
able,47
fantastic,47
fridge,47
ok,47
space,47
overall,46
wifi,46
wanted,46
im,45
called,45
weekend,45
bag,45
card,45
expensive,45
cheap,45
5th,45
per,44
pretty,44
three,44
friend,44
give,44
although,44
ive,43
quick,43
1,42
wife,42
ready,42
nearby,42
worth,42
extra,42
standard,42
week,42
couple,42
provided,41
ac,41
looked,41
value,41
access,40
second,40
wait,40
option,40
amenity,40
dated,39
felt,39
district,39
microwave,39
everyone,39
welcoming,39
top,39
care,39
checkin,39
worst,39
absolutely,38
reservation,38
without,38
ask,38
working,38
late,38
full,37
show,37
decent,37
found,37
think,37
thats,36
put,36
several,36
le,36
broadway,36
part,36
home,36
star,36
stair,36
expected,35
due,35
accommodating,35
level,35
offered,35
recently,35
pillow,35
checking,35
attraction,35
love,35
credit,35
open,35
shared,35
machine,34
modern,34
housekeeping,34
travel,34
daily,34
double,34
evening,34
professional,34
king,34
arrival,34
phone,34
tired,34
fast,33
flight,33
thanks,33
fine,33
tiny,33
cost,33
shop,33
closet,33
paid,32
spot,32
expect,32
whole,32
bug,32
given,32
hair,32
safe,32
filthy,32
noisy,31
point,31
choice,31
spend,31
plenty,31
walked,31
someone,31
try,31
disappointed,31
warm,31
kept,31
overlooking,31
world,31
furniture,31
cold,30
center,30
received,30
cleaned,30
avenue,30
keep,30
key,30
snack,30
busy,30
stain,30
rude,30
birthday,30
huge,29
different,29
leave,29
anyone,29
bottle,29
getting,29
efficient,29
light,29
taxi,29
comfy,29
awesome,29
book,28
youre,28
welcome,28
midtown,28
plus,28
opened,28
wine,28
harrys,28
thin,28
step,27
store,27
end,27
actually,27
name,27
worked,27
reasonable,27
request,27
complaint,27
may,27
quality,27
upgrade,27
tim,27
coming,26
buffet,26
husband,26
person,26
else,26
must,26
everywhere,26
suitcase,26
four,26
hallway,26
daughter,26
making,26
booking,26
madison,26
spent,26
single,26
rather,26
paper,26
included,26
beyond,26
terrible,26
vincent,26
6,25
employee,25
polite,25
picture,25
parking,25
tried,25
guy,25
entire,25
doesnt,25
surprised,25
theater,25
upon,25
airport,25
five,25
poor,25
bath,25
stained,25
man,24
certainly,24
isnt,24
greeted,24
car,24
id,24
enjoy,24
wont,24
there,24
deal,24
rest,24
thought,24
change,24
maker,24
resort,24
chinatown,24
set,23
outside,23
corner,23
con,23
town,23
dining,23
complimentary,23
concierge,23
let,23
fabulous,23
fan,23
including,23
ceiling,23
smell,23
life,23
positive,23
something,23
saw,23
bring,23
spectacular,23
fit,23
hostel,23
eat,22
brand,22
direction,22
immediately,22
either,22
liked,22
dollar,22
returned,22
bellman,22
later,21
higher,21
line,21
smaller,21
offer,21
almost,21
knew,21
cool,21
incredible,21
james,21
site,21
start,21
worn,21
foot,21
hard,20
soon,20
facing,20
hospitality,20
upgraded,20
run,20
relatively,20
main,20
conditioning,20
basic,20
bus,20
heart,20
7,20
truly,20
outstanding,20
linen,20
smile,20
met,20
wouldnt,20
courteous,20
decided,20
photo,20
nafeesa,20
missing,20
nicole,20
ice,19
yes,19
chose,19
larger,19
possible,19
lift,19
fresh,19
shopping,19
condition,19
major,19
probably,19
heard,19
seemed,19
choose,19
cleanliness,19
fairly,19
done,19
charged,19
easily,19
20,19
often,19
order,19
directly,19
cleaning,19
chinese,19
clothes,19
forward,19
suite,19
disgusting,19
40,19
please,19
favorite,18
already,18
allowed,18
checkout,18
traffic,18
quickly,18
state,18
tea,18
port,18
appreciated,18
chair,18
lower,18
decor,18
least,18
visiting,18
bigger,18
expectation,18
believe,18
month,18
cover,18
partial,18
12,17
awful,17
werent,17
others,17
negative,17
touch,17
anniversary,17
stop,17
drawer,17
seem,17
train,17
garment,17
irish,17
wish,17
important,17
authority,17
compared,17
receptionist,17
guess,17
taken,17
cab,17
sight,17
8th,17
team,17
completely,17
